experiment,case,data_seed,m_constraints,family,selection,strictly_reliable,reliability_code,normalizer_reliable,reference_reliable,reference_method,reference_rhat_max,reference_ess_min,vi_converged,vi_failure_reason,selected_validation_elbo,selected_normalized_gradient,method,reverse_kl,reverse_kl_se,forward_kl,forward_kl_se,tv,tv_se,validation_elbo,normalized_gradient,converged,wall_time_seconds,jacobian_log_q01,jacobian_log_q50,jacobian_log_q99,minimum_derivative,average_marginal_w1,sliced_w1,mean_relative_error,covariance_relative_error,normalized_reverse_kl
capacity_extended,log,0,10,diag,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-27.454139780513223,3.867724722030913e-05,CTVGP,27.354798834581,0.019030515331326818,62246.72631035229,343.3713252402352,0.9999999992103927,1.3417419582935034e-10,-27.454139780513223,3.867724722030913e-05,True,14.5399299999699,-2.4170620956090336,-1.1521444795022528,-0.3879415528962927,0.08884279866115334,0.04162253790664762,0.0384233129447247,0.00788356974197374,0.9952294708403477,2.7354798834581002
capacity_extended,log,0,10,rank2,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-17.939392786890153,0.024955570739343208,CTVGP,17.833406365908235,0.014674160501494782,16300.640833592952,114.10150765106944,0.999997189686404,4.371169682856402e-07,-17.939392786890153,0.024955570739343208,False,19.64908569981344,-2.4875021137411713,-1.2093835360140632,-0.377553123533171,0.05370717681708848,0.02438475982768456,0.023333407479003396,0.007793337762162779,0.7947408179579308,1.7833406365908235
capacity_extended,log,0,10,rank4,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-11.178411416521358,0.4356179683225066,CTVGP,11.087591170335058,0.0113662553717105,3969.627324300956,32.95493462576104,0.9992973057501098,7.081553901177195e-05,-11.178411416521358,0.4356179683225066,False,17.51116059999913,-2.709924655330073,-1.1709833800236824,-0.37696729660322553,0.030175060486048285,0.021565195767485335,0.021639457538922338,0.00858017188845759,0.8003435084983651,1.1087591170335058
capacity_extended,log,0,10,full,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-4.166997568404774,0.09536851341857018,CTVGP,4.070245386759344,0.006517016981224137,421.3293087959236,12.684873344555152,0.9408302240518096,0.0007038853380845751,-4.166997568404774,0.09536851341857018,False,13.681648700032383,-2.497542069434737,-1.158179230769612,-0.3655948922825857,0.04414595160717802,0.023250070485742215,0.020893346126729516,0.013901506667687549,0.8347115532391562,0.40702453867593447
capacity_extended,log,0,20,diag,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-67.90566202375331,0.25702527497402616,CTVGP,65.9677749695086,0.008270425599158221,144983247.94411832,659791.948955532,1.0,0.0,-67.90566202375331,0.25702527497402616,False,53.69161940016784,-5.5570469938562095,-1.1668148397593447,-0.38889657225924507,0.003805262582183688,0.05557908397694263,0.05175651870256015,0.0939321807441381,0.9999992728296145,3.2983887484754297
capacity_extended,log,0,20,rank2,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,"validation_plateau,normalized_gradient",-57.65773732422588,8.464624134872825,CTVGP,55.80060057629063,0.012074708072981931,95569988.84561309,515792.9854349828,1.0,0.0,-57.65773732422588,8.464624134872825,False,53.89195839990862,-2.514427633852661,-1.2969653148411504,-0.35117135118223614,0.06850289088643334,0.046455164318680596,0.047045572421348866,0.09160512164103696,0.9633955297460248,2.7900300288145314
capacity_extended,log,0,20,rank4,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,"validation_plateau,normalized_gradient",-54.15547391774753,10.971390499973731,CTVGP,47.45864844420249,0.02283871124966448,40732224.16716631,245316.8142303047,1.0,1.890282398456263e-17,-54.15547391774753,10.971390499973731,False,54.4266825998202,-2.8564609362085203,-1.2336488702193664,-0.36899363029114335,0.03021150681339083,0.03731046991082519,0.034194471813107585,0.06128042518401072,0.9089026684660849,2.3729324222101242
capacity_extended,log,0,20,full,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,"validation_plateau,normalized_gradient",-43.66330778496703,55.43177788497129,CTVGP,32.49661552202156,0.07112727840983632,942664.5555994668,55156.877109351764,0.9999628215525801,7.341107683586958e-06,-43.66330778496703,55.43177788497129,False,30.7537016000133,-2.8261482536695395,-1.1715798061668243,-0.3617043603687645,0.024206118162777422,0.02383397865246607,0.020753273400089988,0.015003616794190254,0.8245325347006802,1.6248307761010778
capacity_extended,log,0,5,diag,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-1.4531579204473815,0.00013833235745863907,CTVGP,1.413771712795425,0.005225852080346227,4.006443685221839,0.04693716119897977,0.6084967594891914,0.0015222881413767997,-1.4531579204473815,0.00013833235745863907,True,1.1824578000232577,-2.734173678909387,-1.3080648046098449,-0.35484414103290396,0.019338022297804486,0.016917962194432146,0.014964552463790406,0.0005527687909078373,0.706973280358744,0.282754342559085
capacity_extended,log,0,5,rank2,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-0.40945146825992307,0.0003310672531344813,CTVGP,0.370715949514415,0.0027099741444141837,1.1628671731877485,0.03462836331136901,0.2993183953652279,0.001278196294439902,-0.40945146825992307,0.0003310672531344813,True,3.7034190001431853,-2.806572225719856,-1.285297425484424,-0.345674131072876,0.02209426836908773,0.0059030349726050535,0.005105126274133261,0.0012925519527842986,0.21526810791914647,0.074143189902883
capacity_extended,log,0,5,rank4,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-0.2541685008401551,0.0005320914969600726,CTVGP,0.20898625344676272,0.0019356903541955979,0.9392520061120815,0.03333130972465944,0.21787353462325418,0.0010974961978743574,-0.2541685008401551,0.0005320914969600726,True,5.293345300015062,-2.8341495664337795,-1.284210652620041,-0.34195426677532204,0.01943198828923046,0.004886752635256402,0.003278435675207345,0.002169419622089765,0.16166013494504877,0.04179725068935254
capacity_extended,log,0,5,full,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-0.25464871659687915,0.0014295017411493926,CTVGP,0.21394946308170892,0.0019974029201360994,0.9530118892924293,0.033811732989230826,0.21868469128563592,0.0011063763637915126,-0.25464871659687915,0.0014295017411493926,True,1.3939169999212027,-2.829889420094683,-1.2864979340761997,-0.3425007982448858,0.01655364672491059,0.005008443976633418,0.00412900711796746,0.0025439682859927522,0.1702958845938239,0.042789892616341786
capacity_extended,log,1,10,diag,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-38.013731668296224,2.957312826609325e-06,CTVGP,36.70359032137648,0.007295711070746698,10966901.887590582,63731.8966811521,0.9999999999999823,1.075219667300896e-14,-38.013731668296224,2.957312826609325e-06,True,18.008375300094485,-1.6716540117214864,-1.3852413304323274,-0.5077939530192881,0.20810464525830963,0.031667509581119496,0.03140447743546451,0.0005617317196601009,0.9999916873315366,3.670359032137648
capacity_extended,log,1,10,rank2,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-23.859176714324015,0.1267541142115004,CTVGP,22.983030183816677,0.006015504261951539,2237059.572044535,13931.117617013868,0.9999999977833982,3.2584040318379477e-10,-23.859176714324015,0.1267541142115004,False,21.59619230008684,-1.7870718577964968,-1.3486827690112615,-0.48183354438160053,0.14899480668422418,0.015181299053396399,0.015714282225798765,0.010385451563579715,0.8234595396252256,2.2983030183816675
capacity_extended,log,1,10,rank4,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-12.550536321494732,1.2484855336199712,CTVGP,12.039303929188614,0.004624921753929564,194286.07609878213,1875.7768537047498,0.9999470935952349,1.440971004181376e-05,-12.550536321494732,1.2484855336199712,False,13.901864000130445,-1.8088228785356155,-1.3304032906617338,-0.46616134761925887,0.11761245113851947,0.012468077027320537,0.012091564169941157,0.009707424315670897,0.6980887601414653,1.2039303929188614
capacity_extended,log,1,10,full,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,"validation_plateau,normalized_gradient",-5.17161302541426,4.5363941052924215,CTVGP,4.965451607374471,0.00840441639024957,3077.738475387702,142.44283237430736,0.9664452632610566,0.0005197303598478812,-5.17161302541426,4.5363941052924215,False,11.473241900093853,-1.8358062298330242,-1.3194088353602287,-0.46520172124276876,0.10382760299753316,0.012399342169664651,0.010880581366895183,0.005933824124246106,0.5849848844157732,0.49654516073744714
capacity_extended,log,1,20,diag,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-47.18559884103881,1.9285618888883795e-05,CTVGP,46.41297248260624,0.00666416361821422,73479362.80345424,375548.85079508385,1.0,3.598970391193842e-19,-47.18559884103881,1.9285618888883795e-05,True,49.60297359991819,-1.6792762965103873,-1.396103468129918,-0.5080251210437543,0.20638146102919935,0.03012983103024583,0.029358156099308523,0.00015656863674248138,0.9999999113299212,2.320648624130312
capacity_extended,log,1,20,rank2,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-31.2235062704967,0.603036120463085,CTVGP,30.945338081521008,0.006118997457479795,37020840.79339356,233906.83059900795,0.9999999999984169,3.5174615556429104e-13,-31.2235062704967,0.603036120463085,False,34.10539479996078,-1.7754191064476437,-1.3803952077997819,-0.48587600387061713,0.15742567128638993,0.013758833391981706,0.014348957379620265,0.0026104545881833682,0.8352892418308154,1.5472669040760505
capacity_extended,log,1,20,rank4,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-17.22943016933199,0.5384262329868034,CTVGP,17.31557528046237,0.005703607897076678,2739322.2230291166,23236.957160124486,0.9999995201182797,5.985298063896311e-08,-17.22943016933199,0.5384262329868034,False,33.2002111999318,-1.7870076467996399,-1.3668239559270312,-0.48079210873816786,0.12842498037700784,0.01324045630266731,0.011848714414694194,0.0016840463170700872,0.7305561448285288,0.8657787640231185
