m_constraints,family,component,repeat,value,unit,batch_size,iterations
5,rank4,peak_memory,6,82.36328125,MiB_peak_RSS,512,20
5,rank8,objective_gradient,0,0.001630699960514903,seconds,512,1
5,rank8,objective_gradient,1,0.0015016000252217054,seconds,512,1
5,rank8,objective_gradient,2,0.0013431999832391739,seconds,512,1
5,rank8,objective_gradient,3,0.0012395000085234642,seconds,512,1
5,rank8,objective_gradient,4,0.0011020000092685223,seconds,512,1
5,rank8,objective_gradient,5,0.0013419999741017818,seconds,512,1
5,rank8,objective_gradient,6,0.00134680001065135,seconds,512,1
5,rank8,1000_iterations,0,0.40801899996586144,seconds,8,1000
5,rank8,1000_iterations,1,0.35851609986275434,seconds,8,1000
5,rank8,1000_iterations,2,0.33543670014478266,seconds,8,1000
5,rank8,1000_iterations,3,0.3456868000794202,seconds,8,1000
5,rank8,1000_iterations,4,0.30950489989481866,seconds,8,1000
5,rank8,1000_iterations,5,0.39491540007293224,seconds,8,1000
5,rank8,1000_iterations,6,0.3655720001552254,seconds,8,1000
5,rank8,10000_samples,0,0.007829200010746717,seconds,10000,1
5,rank8,10000_samples,1,0.004768899874761701,seconds,10000,1
5,rank8,10000_samples,2,0.0037426999770104885,seconds,10000,1
5,rank8,10000_samples,3,0.005792599869892001,seconds,10000,1
5,rank8,10000_samples,4,0.005578200099989772,seconds,10000,1
5,rank8,10000_samples,5,0.0046114998403936625,seconds,10000,1
5,rank8,10000_samples,6,0.008138499921187758,seconds,10000,1
5,rank8,peak_memory,0,82.62890625,MiB_peak_RSS,512,20
5,rank8,peak_memory,1,82.62890625,MiB_peak_RSS,512,20
5,rank8,peak_memory,2,82.62890625,MiB_peak_RSS,512,20
5,rank8,peak_memory,3,82.62890625,MiB_peak_RSS,512,20
5,rank8,peak_memory,4,82.62890625,MiB_peak_RSS,512,20
5,rank8,peak_memory,5,82.62890625,MiB_peak_RSS,512,20
5,rank8,peak_memory,6,82.62890625,MiB_peak_RSS,512,20
5,full,objective_gradient,0,0.002863599918782711,seconds,512,1
5,full,objective_gradient,1,0.0014843998942524195,seconds,512,1
5,full,objective_gradient,2,0.0025844001211225986,seconds,512,1
5,full,objective_gradient,3,0.0015728999860584736,seconds,512,1
5,full,objective_gradient,4,0.0013723000884056091,seconds,512,1
5,full,objective_gradient,5,0.0013882000930607319,seconds,512,1
5,full,objective_gradient,6,0.0013520000502467155,seconds,512,1
5,full,1000_iterations,0,0.48426319984719157,seconds,8,1000
5,full,1000_iterations,1,0.5344059001654387,seconds,8,1000
5,full,1000_iterations,2,0.6645607999525964,seconds,8,1000
5,full,1000_iterations,3,0.6911517998669297,seconds,8,1000
