experiment,case,data_seed,m_constraints,normalizer_reliable,reference_reliable,smaller_family,larger_family,elbo_difference,combined_3se,nesting_check_passed,interpretation
capacity,sigmoid,1,20,False,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,1,20,False,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,1,5,True,True,diag,rank2,-0.0005324516444211724,0.04387325662053444,True,consistent_with_rank_nesting
capacity,sigmoid,1,5,True,True,rank2,rank4,0.07787052631460512,0.04491585869710634,True,consistent_with_rank_nesting
capacity,sigmoid,1,5,True,True,rank4,full,-0.05787010983469054,0.04282999440062325,False,optimization_failure_or_missing_fit
capacity,sigmoid,2,10,True,True,diag,rank2,0.39080028563488867,0.08173221142119524,True,consistent_with_rank_nesting
capacity,sigmoid,2,10,True,True,rank2,rank4,0.04481266051259425,0.0766306695032131,True,consistent_with_rank_nesting
capacity,sigmoid,2,10,True,True,rank4,full,4.955432337183652e-05,0.0810016359368476,True,consistent_with_rank_nesting
capacity,sigmoid,2,20,True,False,diag,rank2,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,2,20,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,2,20,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,2,5,True,True,diag,rank2,0.02457922021333836,0.043835579039719255,True,consistent_with_rank_nesting
capacity,sigmoid,2,5,True,True,rank2,rank4,-0.018472691158878618,0.04443732069114218,True,consistent_with_rank_nesting
capacity,sigmoid,2,5,True,True,rank4,full,0.00505892122717988,0.04413515753484482,True,consistent_with_rank_nesting
capacity,sigmoid,3,10,True,True,diag,rank2,0.6078321121794961,0.10655070241486214,True,consistent_with_rank_nesting
capacity,sigmoid,3,10,True,True,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,3,10,True,True,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,3,20,True,False,diag,rank2,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,3,20,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,3,20,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,3,5,True,True,diag,rank2,0.24952245607199952,0.07025371783035719,True,consistent_with_rank_nesting
capacity,sigmoid,3,5,True,True,rank2,rank4,-0.0499839747181996,0.062430008032439886,True,consistent_with_rank_nesting
capacity,sigmoid,3,5,True,True,rank4,full,0.014699674307744992,0.05860673500984433,True,consistent_with_rank_nesting
capacity,sigmoid,4,10,True,False,diag,rank2,3.9758011724383984,0.21785058975776073,True,consistent_with_rank_nesting
capacity,sigmoid,4,10,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,4,10,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,4,20,True,False,diag,rank2,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,4,20,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,4,20,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,sigmoid,4,5,True,True,diag,rank2,0.3373990166081491,0.06335103455621689,True,consistent_with_rank_nesting
capacity,sigmoid,4,5,True,True,rank2,rank4,-0.01599638378781343,0.07082306487619536,True,consistent_with_rank_nesting
capacity,sigmoid,4,5,True,True,rank4,full,-0.031954506294797014,0.07188287028439873,True,consistent_with_rank_nesting
