benchmark,delta_ratio,delta,n_runs,mse_n,mse_mean,mse_std,mse_median,mse_q25,mse_q75,mse_ci95_low,mse_ci95_high,mae_n,mae_mean,mae_std,mae_median,mae_q25,mae_q75,mae_ci95_low,mae_ci95_high,pearson_correlation_n,pearson_correlation_mean,pearson_correlation_std,pearson_correlation_median,pearson_correlation_q25,pearson_correlation_q75,pearson_correlation_ci95_low,pearson_correlation_ci95_high,sign_agreement_n,sign_agreement_mean,sign_agreement_std,sign_agreement_median,sign_agreement_q25,sign_agreement_q75,sign_agreement_ci95_low,sign_agreement_ci95_high,derivative_support_violation_n,derivative_support_violation_mean,derivative_support_violation_std,derivative_support_violation_median,derivative_support_violation_q25,derivative_support_violation_q75,derivative_support_violation_ci95_low,derivative_support_violation_ci95_high,loglog_mse_slope_n,loglog_mse_slope_mean,loglog_mse_slope_std,loglog_mse_slope_median,loglog_mse_slope_q25,loglog_mse_slope_q75,loglog_mse_slope_ci95_low,loglog_mse_slope_ci95_high
log,0.00625,0.0625,10,10,1.1307507384711237e-08,3.1373787349879815e-09,1.0220199912859589e-08,8.812819423427328e-09,1.2532695705370656e-08,9.61768101237385e-09,1.3289910010476899e-08,10,8.237477145084162e-05,1.0331164926961467e-05,7.887634082594427e-05,7.3928140369525e-05,8.730580052063274e-05,7.667095324403424e-05,8.897245071608461e-05,10,0.9999997677654706,4.97214756423017e-08,0.9999997782112076,0.9999997377412302,0.9999998097302469,0.999999737406913,0.9999997951710167,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.5639322622862677,0.21918532303106614,2.5737529448640806,2.4310319369734126,2.716661916600316,2.4336526761552695,2.690014915580994
log,0.0125,0.125,10,10,1.9351352746835394e-08,3.913940398648928e-09,2.028586213411272e-08,1.7471729484410988e-08,2.1429356518226768e-08,1.7008657095936358e-08,2.1582458561483915e-08,10,0.00010922600582821543,1.062411874213964e-05,0.0001113130962489,0.00010542821083765,0.00011546820047220001,0.00010275164235682128,0.00011520491438692884,10,0.9999997119040982,4.9206031540304176e-08,0.9999997078455323,0.9999996807979518,0.9999997570338091,0.9999996829242198,0.9999997400067757,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.5639322622862677,0.21918532303106614,2.5737529448640806,2.4310319369734126,2.716661916600316,2.435744480447574,2.6913350052647105
log,0.025,0.25,10,10,1.4810952507805942e-07,4.4486380129087657e-08,1.6376594173954588e-07,1.0998733229242754e-07,1.793807085571288e-07,1.2126230780358084e-07,1.7358668334121673e-07,10,0.00028699749159427,3.794183271701795e-05,0.0003021844322349,0.000255451790820725,0.00031476181541729997,0.0002644442129488122,0.0003088447267976663,10,0.9999988195589367,1.8968215081335278e-07,0.9999988431839035,0.9999987940716485,0.9999989511150494,0.9999987016962414,0.9999989225095347,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.5639322622862677,0.21918532303106614,2.5737529448640806,2.4310319369734126,2.716661916600316,2.435596732509175,2.6936355789769757
log,0.05,0.5,10,10,2.210664470652495e-06,7.162453174667362e-07,2.462349013713304e-06,1.5608333201940793e-06,2.7087734691896723e-06,1.7929311702615816e-06,2.6254909052286714e-06,10,0.0010989497788189602,0.00015102372168601056,0.00116177355037205,0.00095629753135415,0.0012110903831701,0.00100701535775247,0.0011853715633017793,10,0.9999846354211517,2.9810018869407374e-06,0.9999850193111401,0.999984348350673,0.9999864855582823,0.9999827661968758,0.9999862303702383,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.5639322622862677,0.21918532303106614,2.5737529448640806,2.4310319369734126,2.716661916600316,2.4330488147167904,2.6901507884257976
sigmoid,0.00625,0.0625,10,10,2.4091645572534918e-06,4.457702266664966e-08,2.4144086293585096e-06,2.3657530731802226e-06,2.4435808791273167e-06,2.3836043153469265e-06,2.4355926702108065e-06,10,0.00072641614880739,4.590390643493655e-06,0.0007259484406376,0.0007223806391419249,0.000729964762500775,0.00072371769831932,0.0007291763929902865,10,0.9999990092059884,1.4841608105261862e-08,0.9999990083188368,0.9999990020756612,0.9999990199426602,0.9999990002703847,0.9999990175144609,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.937380971820519,0.0007373503931864496,3.937409700381602,3.936833869905039,3.9379558181168592,3.936959012568903,3.9378133080032076
sigmoid,0.0125,0.125,10,10,3.8292475215723894e-05,7.067051796682969e-07,3.8371719969142534e-05,3.760372203639952e-05,3.8829520675534416e-05,3.7886722590852086e-05,3.870936596189314e-05,10,0.00289296486190709,1.8371073057976692e-05,0.0028916166335299,0.002876732879698475,0.002907043282431475,0.0028822669966685056,0.00290377578386248,10,0.9999841366721631,2.373601640067675e-07,0.9999841212211416,0.9999840214724667,0.9999843127568468,0.999983991088739,0.9999842709853666,10,0.999994,8.43274042711826e-06,1.0,0.99999,1.0,0.999989,0.999998,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.937380971820519,0.0007373503931864496,3.937409700381602,3.936833869905039,3.9379558181168592,3.936960577760049,3.9378098653784814
sigmoid,0.025,0.25,10,10,0.00059680993412701,1.1166978881442454e-05,0.0005984414858691499,0.00058595563852455,0.000605373567647975,0.0005903320754067141,0.0006033724135929279,10,0.01139698253991648,7.443583541379069e-05,0.01139391615112555,0.011328440891923,0.011452231013922325,0.011354513307369028,0.01144080783774792,10,0.9997454712062597,3.903361425844396e-06,0.9997450646386647,0.9997434595729915,0.9997482944051631,0.9997430978237233,0.9997477362445009,10,0.997767,0.000256040361401627,0.99776,0.9976775,0.99786,0.9976049999999999,0.9979089999999999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.937380971820519,0.0007373503931864496,3.937409700381602,3.936833869905039,3.9379558181168592,3.936945904088227,3.9378182413977867
sigmoid,0.05,0.5,10,10,0.008613593122304298,0.00014977974083236836,0.008632892531736401,0.00846047856384645,0.00872615850785305,0.008525098322562482,0.00870064889098419,10,0.04309218967977126,0.0002605762498839103,0.0431126510948315,0.042838565056167524,0.043300138065134004,0.042942190153539936,0.043247643287156586,10,0.9958900059401896,6.029638907616007e-05,0.9958840041532797,0.9958640092381184,0.995934085122153,0.9958527203093465,0.9959242922425641,10,0.981139,0.0007844098985153638,0.98107,0.9809775000000001,0.9814775,0.980682975,0.981588,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.937380971820519,0.0007373503931864496,3.937409700381602,3.936833869905039,3.9379558181168592,3.93694977107053,3.937819592113371
