benchmark,conditional_clipped_eigenvalues,conditional_jitter,conditional_min_eigenvalue_raw,data_seed,delta,delta_ratio,derivative_covariance_jitter,derivative_support_violation,fit_source,loglog_mse_slope,mae,mse,opt_seed,pearson_correlation,run_id,sampling_implementation,sign_agreement,status
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.435536253833176,9.12580078541198e-05,1.3135476188999179e-08,4,0.9999997667817179,finite_difference_log_data12_opt4,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-2.3833797851155503e-12,12,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,2.435536253833176,7.256190633643251e-05,8.54630313403472e-09,4,0.9999998110721269,finite_difference_log_data12_opt4,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-3.387414442919943e-14,12,0.5,0.05,1e-10,0.0,finite_difference_optimization,2.7026984228465083,0.0011803283352214498,2.7255522646689327e-06,5,0.9999784984424976,finite_difference_log_data12_opt5,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-1.4195813942274167e-13,12,0.25,0.025,1e-10,0.0,finite_difference_optimization,2.7026984228465083,0.0003067336904430054,1.7991565174862504e-07,5,0.9999984186133026,finite_difference_log_data12_opt5,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.7026984228465083,0.00011195895216820741,2.0795783688149796e-08,5,0.9999996771275164,finite_difference_log_data12_opt5,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-2.3833797851155503e-12,12,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,2.7026984228465083,8.034591617488558e-05,1.086028988543831e-08,5,0.9999997559442252,finite_difference_log_data12_opt5,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-3.387414442919943e-14,12,0.5,0.05,1e-10,0.0,finite_difference_optimization,2.3295137227371674,0.0009471291588156889,1.5329353395687944e-06,6,0.9999854002935462,finite_difference_log_data12_opt6,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-1.4195813942274167e-13,12,0.25,0.025,1e-10,0.0,finite_difference_optimization,2.3295137227371674,0.0002540895107413942,1.0715263904466085e-07,6,0.9999988475341001,finite_difference_log_data12_opt6,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.3295137227371674,0.00010841288599185587,1.826090258688866e-08,6,0.999999686263871,finite_difference_log_data12_opt6,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-2.3833797851155503e-12,12,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,2.3295137227371674,8.800814902005765e-05,1.2710784649662931e-08,6,0.999999738516863,finite_difference_log_data12_opt6,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
